Nr obwodu,Komitet wyborczy,Kandydat,Liczba głosów
124,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,DAJKSLER Urszula,1
124,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,NECELMAN Wiesław Piotr,3
124,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,NOWAK Maria Jolanta,1
124,KWW JAROSŁAWA PUCKA DOBRO MIASTA,NIEDBAŁA Marek Leon,25
124,KWW JAROSŁAWA PUCKA DOBRO MIASTA,PERLIŃSKI Miron Kazimierz,0
124,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KAPELA Maria Małgorzata,1
124,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WYSOCKI Aleksander Marek,2
124,KWW JAROSŁAWA PUCKA DOBRO MIASTA,SZÓSTAK Hanna,4
124,KWW JAROSŁAWA PUCKA DOBRO MIASTA,GRZYBOWSKI Tomasz Jarosław,3
124,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KOPNIEWSKA Aleksandra Ewa,2
124,KWW JAROSŁAWA PUCKA DOBRO MIASTA,TOMCZAK Michał Bartłomiej,6
124,KWW LEWICA,KANIA Henryk,7
124,KWW LEWICA,LEWANDOWSKI Tomasz Jacek,48
124,KWW LEWICA,GARCZEWSKI Łukasz,5
124,KWW LEWICA,PARZYCH Ewa Barbara,1
124,KWW LEWICA,ANDRZEJEWSKA Ewa,3
124,KWW LEWICA,ABRAMOWICZ Dawid Piotr,2
124,KWW LEWICA,IGNASZAK Magdalena,2
124,KWW LEWICA,ZACZYŃSKI Ryszard Henryk,1
124,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WIERZBICKI Tomasz,11
124,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,HOPPE Mateusz,2
124,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WRÓBLEWSKA Karolina,10
124,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KASPROWICZ Marcin Michał,3
124,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KOPEĆ Mateusz Krzysztof,2
124,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,CIEŚLEWICZ-GALAS Katarzyna Stanisława,0
124,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MIĘSIAK Michał Jan,6
124,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,ANDRZEJEWSKA Agnieszka Ewa,10
125,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,WIŚNIEWSKI Mariusz Michał,267
125,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,LEWANDOWSKA Agnieszka Danuta,196
125,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KRÓL Dominika Urszula,51
125,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,JURA Grzegorz Stanisław,56
125,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,WIECZOREK-KISTOWSKA Alina Karolina,14
125,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,JACYGRAD Jacek,1
125,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,GUMNY Artur,18
125,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KŁOPOCKI Kamil Jan,24
125,KWW KUKIZ'15,HINC Przemysław Jakub,16
125,KWW KUKIZ'15,KSIĄŻKIEWICZ Jarosław Jan,3
125,KWW KUKIZ'15,KURASZKIEWICZ Joanna Małgorzata,3
125,KWW KUKIZ'15,MATUSZAK Daniel,1
125,KWW KUKIZ'15,POPIELARSKA Dorota,5
125,KWW KUKIZ'15,SPYCHAŁ Jędrzej,1
125,KWW KUKIZ'15,MAZUREK Michał,0
125,KWW KUKIZ'15,BIELAWNA Barbara Ewa,1
125,KW PRAWO I SPRAWIEDLIWOŚĆ,ALEXANDROWICZ Przemysław Józef,104
125,KW PRAWO I SPRAWIEDLIWOŚĆ,KAPUSTKA Łukasz Tomasz,158
125,KW PRAWO I SPRAWIEDLIWOŚĆ,GÓRNY Zbyszko Stanisław,19
125,KW PRAWO I SPRAWIEDLIWOŚĆ,CHĄDZYŃSKA Małgorzata,11
125,KW PRAWO I SPRAWIEDLIWOŚĆ,FABROWSKA Anna Magdalena,6
125,KW PRAWO I SPRAWIEDLIWOŚĆ,DUDZIAK Monika Anna,15
125,KW PRAWO I SPRAWIEDLIWOŚĆ,ORLICKA Beata,1
125,KW PRAWO I SPRAWIEDLIWOŚĆ,SYTEK Przemysław Wojciech,3
125,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,CHOMICZ Wojciech,25
125,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KRUCZKOWSKI Michał,6
125,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KOPCZYŃSKA Anna,9
125,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,DAJKSLER Urszula,2
125,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,NECELMAN Wiesław Piotr,4
125,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,NOWAK Maria Jolanta,2
125,KWW JAROSŁAWA PUCKA DOBRO MIASTA,NIEDBAŁA Marek Leon,18
125,KWW JAROSŁAWA PUCKA DOBRO MIASTA,PERLIŃSKI Miron Kazimierz,2
125,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KAPELA Maria Małgorzata,3
125,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WYSOCKI Aleksander Marek,1
125,KWW JAROSŁAWA PUCKA DOBRO MIASTA,SZÓSTAK Hanna,3
125,KWW JAROSŁAWA PUCKA DOBRO MIASTA,GRZYBOWSKI Tomasz Jarosław,2
125,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KOPNIEWSKA Aleksandra Ewa,1
125,KWW JAROSŁAWA PUCKA DOBRO MIASTA,TOMCZAK Michał Bartłomiej,6
125,KWW LEWICA,KANIA Henryk,10
125,KWW LEWICA,LEWANDOWSKI Tomasz Jacek,79
125,KWW LEWICA,GARCZEWSKI Łukasz,7
125,KWW LEWICA,PARZYCH Ewa Barbara,2
125,KWW LEWICA,ANDRZEJEWSKA Ewa,5
125,KWW LEWICA,ABRAMOWICZ Dawid Piotr,3
125,KWW LEWICA,IGNASZAK Magdalena,2
125,KWW LEWICA,ZACZYŃSKI Ryszard Henryk,3
125,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WIERZBICKI Tomasz,28
125,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,HOPPE Mateusz,5
125,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WRÓBLEWSKA Karolina,9
125,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KASPROWICZ Marcin Michał,1
125,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KOPEĆ Mateusz Krzysztof,3
125,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,CIEŚLEWICZ-GALAS Katarzyna Stanisława,5
125,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MIĘSIAK Michał Jan,3
125,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,ANDRZEJEWSKA Agnieszka Ewa,5
126,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,WIŚNIEWSKI Mariusz Michał,269
126,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,LEWANDOWSKA Agnieszka Danuta,143
126,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KRÓL Dominika Urszula,31
126,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,JURA Grzegorz Stanisław,61
126,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,WIECZOREK-KISTOWSKA Alina Karolina,12
126,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,JACYGRAD Jacek,3
126,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,GUMNY Artur,17
126,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KŁOPOCKI Kamil Jan,12
126,KWW KUKIZ'15,HINC Przemysław Jakub,23
126,KWW KUKIZ'15,KSIĄŻKIEWICZ Jarosław Jan,3
126,KWW KUKIZ'15,KURASZKIEWICZ Joanna Małgorzata,3
126,KWW KUKIZ'15,MATUSZAK Daniel,1
126,KWW KUKIZ'15,POPIELARSKA Dorota,3
126,KWW KUKIZ'15,SPYCHAŁ Jędrzej,0
126,KWW KUKIZ'15,MAZUREK Michał,1
126,KWW KUKIZ'15,BIELAWNA Barbara Ewa,2
126,KW PRAWO I SPRAWIEDLIWOŚĆ,ALEXANDROWICZ Przemysław Józef,84
126,KW PRAWO I SPRAWIEDLIWOŚĆ,KAPUSTKA Łukasz Tomasz,149
126,KW PRAWO I SPRAWIEDLIWOŚĆ,GÓRNY Zbyszko Stanisław,18
126,KW PRAWO I SPRAWIEDLIWOŚĆ,CHĄDZYŃSKA Małgorzata,6
126,KW PRAWO I SPRAWIEDLIWOŚĆ,FABROWSKA Anna Magdalena,4
126,KW PRAWO I SPRAWIEDLIWOŚĆ,DUDZIAK Monika Anna,21
126,KW PRAWO I SPRAWIEDLIWOŚĆ,ORLICKA Beata,4
126,KW PRAWO I SPRAWIEDLIWOŚĆ,SYTEK Przemysław Wojciech,6
126,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,CHOMICZ Wojciech,35
