Nr obwodu,Kandydat,Liczba głosów
35,BRATKOWSKI Wojciech,13
35,HINC Przemysław Jakub,19
35,JAŚKOWIAK Jacek,406
35,LEWANDOWSKI Tomasz Jacek,81
35,PUCEK Jarosław,55
35,ZYSK Tadeusz,173
36,BONK-HAMMERMEISTER Dorota Magdalena,46
36,BRATKOWSKI Wojciech,17
36,HINC Przemysław Jakub,26
36,JAŚKOWIAK Jacek,653
36,LEWANDOWSKI Tomasz Jacek,70
36,PUCEK Jarosław,80
36,ZYSK Tadeusz,165
37,BONK-HAMMERMEISTER Dorota Magdalena,14
37,BRATKOWSKI Wojciech,10
37,HINC Przemysław Jakub,7
37,JAŚKOWIAK Jacek,311
37,LEWANDOWSKI Tomasz Jacek,37
37,PUCEK Jarosław,47
37,ZYSK Tadeusz,115
38,BONK-HAMMERMEISTER Dorota Magdalena,29
38,BRATKOWSKI Wojciech,18
38,HINC Przemysław Jakub,13
38,JAŚKOWIAK Jacek,330
38,LEWANDOWSKI Tomasz Jacek,54
38,PUCEK Jarosław,20
38,ZYSK Tadeusz,86
39,BONK-HAMMERMEISTER Dorota Magdalena,67
39,BRATKOWSKI Wojciech,23
39,HINC Przemysław Jakub,19
39,JAŚKOWIAK Jacek,781
39,LEWANDOWSKI Tomasz Jacek,92
39,PUCEK Jarosław,60
39,ZYSK Tadeusz,293
40,BONK-HAMMERMEISTER Dorota Magdalena,41
40,BRATKOWSKI Wojciech,16
40,HINC Przemysław Jakub,26
40,JAŚKOWIAK Jacek,817
40,LEWANDOWSKI Tomasz Jacek,99
40,PUCEK Jarosław,61
40,ZYSK Tadeusz,173
41,BONK-HAMMERMEISTER Dorota Magdalena,18
41,BRATKOWSKI Wojciech,12
41,HINC Przemysław Jakub,18
41,JAŚKOWIAK Jacek,410
41,LEWANDOWSKI Tomasz Jacek,38
41,PUCEK Jarosław,47
41,ZYSK Tadeusz,164
42,BONK-HAMMERMEISTER Dorota Magdalena,26
42,BRATKOWSKI Wojciech,14
42,HINC Przemysław Jakub,8
42,JAŚKOWIAK Jacek,439
42,LEWANDOWSKI Tomasz Jacek,30
42,PUCEK Jarosław,51
42,ZYSK Tadeusz,142
43,BONK-HAMMERMEISTER Dorota Magdalena,25
43,BRATKOWSKI Wojciech,14
43,HINC Przemysław Jakub,23
43,JAŚKOWIAK Jacek,560
43,LEWANDOWSKI Tomasz Jacek,74
43,PUCEK Jarosław,79
43,ZYSK Tadeusz,193
44,BONK-HAMMERMEISTER Dorota Magdalena,40
44,BRATKOWSKI Wojciech,37
44,HINC Przemysław Jakub,24
44,JAŚKOWIAK Jacek,584
44,LEWANDOWSKI Tomasz Jacek,70
44,PUCEK Jarosław,89
44,ZYSK Tadeusz,203
45,BONK-HAMMERMEISTER Dorota Magdalena,23
45,BRATKOWSKI Wojciech,23
45,HINC Przemysław Jakub,16
45,JAŚKOWIAK Jacek,549
45,LEWANDOWSKI Tomasz Jacek,106
45,PUCEK Jarosław,85
45,ZYSK Tadeusz,283
46,BONK-HAMMERMEISTER Dorota Magdalena,39
46,BRATKOWSKI Wojciech,33
46,HINC Przemysław Jakub,17
46,JAŚKOWIAK Jacek,718
46,LEWANDOWSKI Tomasz Jacek,93
46,PUCEK Jarosław,68
46,ZYSK Tadeusz,265
47,BONK-HAMMERMEISTER Dorota Magdalena,28
47,BRATKOWSKI Wojciech,14
47,HINC Przemysław Jakub,37
47,JAŚKOWIAK Jacek,639
47,LEWANDOWSKI Tomasz Jacek,92
47,PUCEK Jarosław,76
47,ZYSK Tadeusz,225
48,BONK-HAMMERMEISTER Dorota Magdalena,37
48,BRATKOWSKI Wojciech,17
48,HINC Przemysław Jakub,17
48,JAŚKOWIAK Jacek,475
48,LEWANDOWSKI Tomasz Jacek,73
48,PUCEK Jarosław,70
48,ZYSK Tadeusz,203
49,BONK-HAMMERMEISTER Dorota Magdalena,28
49,BRATKOWSKI Wojciech,14
49,HINC Przemysław Jakub,28
49,JAŚKOWIAK Jacek,654
49,LEWANDOWSKI Tomasz Jacek,100
49,PUCEK Jarosław,86
49,ZYSK Tadeusz,180
50,BONK-HAMMERMEISTER Dorota Magdalena,30
50,BRATKOWSKI Wojciech,14
50,HINC Przemysław Jakub,24
50,JAŚKOWIAK Jacek,666
50,LEWANDOWSKI Tomasz Jacek,91
50,PUCEK Jarosław,110
50,ZYSK Tadeusz,214
51,BONK-HAMMERMEISTER Dorota Magdalena,41
51,BRATKOWSKI Wojciech,14
51,HINC Przemysław Jakub,32
51,JAŚKOWIAK Jacek,608
51,LEWANDOWSKI Tomasz Jacek,81
51,PUCEK Jarosław,72
51,ZYSK Tadeusz,251
52,BONK-HAMMERMEISTER Dorota Magdalena,28
52,BRATKOWSKI Wojciech,23
52,HINC Przemysław Jakub,24
52,JAŚKOWIAK Jacek,609
52,LEWANDOWSKI Tomasz Jacek,86
52,PUCEK Jarosław,74
52,ZYSK Tadeusz,239
53,BONK-HAMMERMEISTER Dorota Magdalena,40
53,BRATKOWSKI Wojciech,23
53,HINC Przemysław Jakub,32
53,JAŚKOWIAK Jacek,758
53,LEWANDOWSKI Tomasz Jacek,121
53,PUCEK Jarosław,85
53,ZYSK Tadeusz,259
54,BONK-HAMMERMEISTER Dorota Magdalena,40
54,BRATKOWSKI Wojciech,16
54,HINC Przemysław Jakub,17
54,JAŚKOWIAK Jacek,653
54,LEWANDOWSKI Tomasz Jacek,91
54,PUCEK Jarosław,86
54,ZYSK Tadeusz,219
55,BONK-HAMMERMEISTER Dorota Magdalena,23
55,BRATKOWSKI Wojciech,15
55,HINC Przemysław Jakub,19
55,JAŚKOWIAK Jacek,621
55,LEWANDOWSKI Tomasz Jacek,58
55,PUCEK Jarosław,82
55,ZYSK Tadeusz,259
56,BONK-HAMMERMEISTER Dorota Magdalena,15
56,BRATKOWSKI Wojciech,14
56,HINC Przemysław Jakub,15
56,JAŚKOWIAK Jacek,534
56,LEWANDOWSKI Tomasz Jacek,96
56,PUCEK Jarosław,72
56,ZYSK Tadeusz,229
57,BONK-HAMMERMEISTER Dorota Magdalena,31
57,BRATKOWSKI Wojciech,11
57,HINC Przemysław Jakub,25
57,JAŚKOWIAK Jacek,650
57,LEWANDOWSKI Tomasz Jacek,82
57,PUCEK Jarosław,73
57,ZYSK Tadeusz,249
58,BONK-HAMMERMEISTER Dorota Magdalena,18
58,BRATKOWSKI Wojciech,18
58,HINC Przemysław Jakub,18
58,JAŚKOWIAK Jacek,484
58,LEWANDOWSKI Tomasz Jacek,62
58,PUCEK Jarosław,90
58,ZYSK Tadeusz,214
59,BONK-HAMMERMEISTER Dorota Magdalena,31
59,BRATKOWSKI Wojciech,11
59,HINC Przemysław Jakub,22
59,JAŚKOWIAK Jacek,544
59,LEWANDOWSKI Tomasz Jacek,70
59,PUCEK Jarosław,67
59,ZYSK Tadeusz,214
60,BONK-HAMMERMEISTER Dorota Magdalena,24
60,BRATKOWSKI Wojciech,11
60,HINC Przemysław Jakub,22
60,JAŚKOWIAK Jacek,543
60,LEWANDOWSKI Tomasz Jacek,69
60,PUCEK Jarosław,70
60,ZYSK Tadeusz,236
61,BONK-HAMMERMEISTER Dorota Magdalena,26
61,BRATKOWSKI Wojciech,13
61,HINC Przemysław Jakub,34
61,JAŚKOWIAK Jacek,703
61,LEWANDOWSKI Tomasz Jacek,88
61,PUCEK Jarosław,58
61,ZYSK Tadeusz,203
62,BONK-HAMMERMEISTER Dorota Magdalena,30
62,BRATKOWSKI Wojciech,14
62,HINC Przemysław Jakub,25
62,JAŚKOWIAK Jacek,582
62,LEWANDOWSKI Tomasz Jacek,81
62,PUCEK Jarosław,55
62,ZYSK Tadeusz,231
63,BONK-HAMMERMEISTER Dorota Magdalena,29
63,BRATKOWSKI Wojciech,12
63,HINC Przemysław Jakub,19
63,JAŚKOWIAK Jacek,625
63,LEWANDOWSKI Tomasz Jacek,83
63,PUCEK Jarosław,118
63,ZYSK Tadeusz,224
