Nr obwodu,Kandydat,Liczba głosów
202,JAŚKOWIAK Jacek,908
202,LEWANDOWSKI Tomasz Jacek,84
202,PUCEK Jarosław,103
202,ZYSK Tadeusz,242
203,BONK-HAMMERMEISTER Dorota Magdalena,35
203,BRATKOWSKI Wojciech,25
203,HINC Przemysław Jakub,16
203,JAŚKOWIAK Jacek,767
203,LEWANDOWSKI Tomasz Jacek,96
203,PUCEK Jarosław,75
203,ZYSK Tadeusz,223
204,BONK-HAMMERMEISTER Dorota Magdalena,29
204,BRATKOWSKI Wojciech,18
204,HINC Przemysław Jakub,36
204,JAŚKOWIAK Jacek,746
204,LEWANDOWSKI Tomasz Jacek,83
204,PUCEK Jarosław,75
204,ZYSK Tadeusz,225
205,BONK-HAMMERMEISTER Dorota Magdalena,32
205,BRATKOWSKI Wojciech,23
205,HINC Przemysław Jakub,24
205,JAŚKOWIAK Jacek,770
205,LEWANDOWSKI Tomasz Jacek,122
205,PUCEK Jarosław,84
205,ZYSK Tadeusz,204
206,BONK-HAMMERMEISTER Dorota Magdalena,42
206,BRATKOWSKI Wojciech,18
206,HINC Przemysław Jakub,29
206,JAŚKOWIAK Jacek,646
206,LEWANDOWSKI Tomasz Jacek,97
206,PUCEK Jarosław,86
206,ZYSK Tadeusz,251
207,BONK-HAMMERMEISTER Dorota Magdalena,40
207,BRATKOWSKI Wojciech,27
207,HINC Przemysław Jakub,31
207,JAŚKOWIAK Jacek,646
207,LEWANDOWSKI Tomasz Jacek,103
207,PUCEK Jarosław,88
207,ZYSK Tadeusz,244
208,BONK-HAMMERMEISTER Dorota Magdalena,46
208,BRATKOWSKI Wojciech,16
208,HINC Przemysław Jakub,25
208,JAŚKOWIAK Jacek,681
208,LEWANDOWSKI Tomasz Jacek,67
208,PUCEK Jarosław,101
208,ZYSK Tadeusz,203
209,BONK-HAMMERMEISTER Dorota Magdalena,49
209,BRATKOWSKI Wojciech,28
209,HINC Przemysław Jakub,30
209,JAŚKOWIAK Jacek,799
209,LEWANDOWSKI Tomasz Jacek,84
209,PUCEK Jarosław,91
209,ZYSK Tadeusz,154
210,BONK-HAMMERMEISTER Dorota Magdalena,48
210,BRATKOWSKI Wojciech,14
210,HINC Przemysław Jakub,21
210,JAŚKOWIAK Jacek,656
210,LEWANDOWSKI Tomasz Jacek,109
210,PUCEK Jarosław,72
210,ZYSK Tadeusz,251
211,BONK-HAMMERMEISTER Dorota Magdalena,49
211,BRATKOWSKI Wojciech,17
211,HINC Przemysław Jakub,26
211,JAŚKOWIAK Jacek,816
211,LEWANDOWSKI Tomasz Jacek,90
211,PUCEK Jarosław,97
211,ZYSK Tadeusz,205
212,BONK-HAMMERMEISTER Dorota Magdalena,21
212,BRATKOWSKI Wojciech,28
212,HINC Przemysław Jakub,21
212,JAŚKOWIAK Jacek,645
212,LEWANDOWSKI Tomasz Jacek,122
212,PUCEK Jarosław,60
212,ZYSK Tadeusz,219
213,BONK-HAMMERMEISTER Dorota Magdalena,34
213,BRATKOWSKI Wojciech,14
213,HINC Przemysław Jakub,37
213,JAŚKOWIAK Jacek,578
213,LEWANDOWSKI Tomasz Jacek,65
213,PUCEK Jarosław,75
213,ZYSK Tadeusz,248
214,BONK-HAMMERMEISTER Dorota Magdalena,44
214,BRATKOWSKI Wojciech,18
214,HINC Przemysław Jakub,19
214,JAŚKOWIAK Jacek,725
214,LEWANDOWSKI Tomasz Jacek,109
214,PUCEK Jarosław,82
214,ZYSK Tadeusz,186
215,BONK-HAMMERMEISTER Dorota Magdalena,35
215,BRATKOWSKI Wojciech,22
215,HINC Przemysław Jakub,32
215,JAŚKOWIAK Jacek,624
215,LEWANDOWSKI Tomasz Jacek,83
215,PUCEK Jarosław,87
215,ZYSK Tadeusz,234
216,BONK-HAMMERMEISTER Dorota Magdalena,26
216,BRATKOWSKI Wojciech,7
216,HINC Przemysław Jakub,17
216,JAŚKOWIAK Jacek,520
216,LEWANDOWSKI Tomasz Jacek,132
216,PUCEK Jarosław,67
216,ZYSK Tadeusz,227
217,BONK-HAMMERMEISTER Dorota Magdalena,36
217,BRATKOWSKI Wojciech,15
217,HINC Przemysław Jakub,25
217,JAŚKOWIAK Jacek,528
217,LEWANDOWSKI Tomasz Jacek,83
217,PUCEK Jarosław,68
217,ZYSK Tadeusz,231
218,BONK-HAMMERMEISTER Dorota Magdalena,52
218,BRATKOWSKI Wojciech,23
218,HINC Przemysław Jakub,23
218,JAŚKOWIAK Jacek,968
218,LEWANDOWSKI Tomasz Jacek,105
218,PUCEK Jarosław,91
218,ZYSK Tadeusz,198
219,BONK-HAMMERMEISTER Dorota Magdalena,47
219,BRATKOWSKI Wojciech,20
219,HINC Przemysław Jakub,24
219,JAŚKOWIAK Jacek,719
219,LEWANDOWSKI Tomasz Jacek,109
219,PUCEK Jarosław,71
219,ZYSK Tadeusz,193
220,BONK-HAMMERMEISTER Dorota Magdalena,38
220,BRATKOWSKI Wojciech,24
220,HINC Przemysław Jakub,21
220,JAŚKOWIAK Jacek,842
220,LEWANDOWSKI Tomasz Jacek,102
220,PUCEK Jarosław,94
220,ZYSK Tadeusz,111
221,BONK-HAMMERMEISTER Dorota Magdalena,37
221,BRATKOWSKI Wojciech,11
221,HINC Przemysław Jakub,22
221,JAŚKOWIAK Jacek,513
221,LEWANDOWSKI Tomasz Jacek,64
221,PUCEK Jarosław,70
221,ZYSK Tadeusz,163
222,BONK-HAMMERMEISTER Dorota Magdalena,42
222,BRATKOWSKI Wojciech,20
222,HINC Przemysław Jakub,30
222,JAŚKOWIAK Jacek,854
222,LEWANDOWSKI Tomasz Jacek,84
222,PUCEK Jarosław,99
222,ZYSK Tadeusz,274
223,BONK-HAMMERMEISTER Dorota Magdalena,48
223,BRATKOWSKI Wojciech,26
223,HINC Przemysław Jakub,21
223,JAŚKOWIAK Jacek,654
223,LEWANDOWSKI Tomasz Jacek,58
223,PUCEK Jarosław,123
223,ZYSK Tadeusz,267
224,BONK-HAMMERMEISTER Dorota Magdalena,2
224,BRATKOWSKI Wojciech,0
224,HINC Przemysław Jakub,2
224,JAŚKOWIAK Jacek,26
224,LEWANDOWSKI Tomasz Jacek,8
224,PUCEK Jarosław,0
224,ZYSK Tadeusz,15
225,BONK-HAMMERMEISTER Dorota Magdalena,0
225,BRATKOWSKI Wojciech,2
225,HINC Przemysław Jakub,0
225,JAŚKOWIAK Jacek,21
225,LEWANDOWSKI Tomasz Jacek,2
225,PUCEK Jarosław,1
225,ZYSK Tadeusz,11
226,BONK-HAMMERMEISTER Dorota Magdalena,2
226,BRATKOWSKI Wojciech,1
226,HINC Przemysław Jakub,1
226,JAŚKOWIAK Jacek,3
226,LEWANDOWSKI Tomasz Jacek,1
226,PUCEK Jarosław,0
226,ZYSK Tadeusz,13
227,BONK-HAMMERMEISTER Dorota Magdalena,0
227,BRATKOWSKI Wojciech,0
227,HINC Przemysław Jakub,0
227,JAŚKOWIAK Jacek,2
227,LEWANDOWSKI Tomasz Jacek,0
227,PUCEK Jarosław,1
227,ZYSK Tadeusz,1
228,BONK-HAMMERMEISTER Dorota Magdalena,0
228,BRATKOWSKI Wojciech,1
228,HINC Przemysław Jakub,0
228,JAŚKOWIAK Jacek,3
228,LEWANDOWSKI Tomasz Jacek,2
228,PUCEK Jarosław,0
228,ZYSK Tadeusz,6
229,BONK-HAMMERMEISTER Dorota Magdalena,0
229,BRATKOWSKI Wojciech,0
229,HINC Przemysław Jakub,0
229,JAŚKOWIAK Jacek,0
229,LEWANDOWSKI Tomasz Jacek,0
229,PUCEK Jarosław,0
229,ZYSK Tadeusz,1
230,BONK-HAMMERMEISTER Dorota Magdalena,1
230,BRATKOWSKI Wojciech,0
230,HINC Przemysław Jakub,1
230,JAŚKOWIAK Jacek,12
230,LEWANDOWSKI Tomasz Jacek,1
230,PUCEK Jarosław,0
230,ZYSK Tadeusz,2
231,BONK-HAMMERMEISTER Dorota Magdalena,2
231,BRATKOWSKI Wojciech,1
231,HINC Przemysław Jakub,0
231,JAŚKOWIAK Jacek,8
231,LEWANDOWSKI Tomasz Jacek,0
231,PUCEK Jarosław,3
231,ZYSK Tadeusz,8
232,BONK-HAMMERMEISTER Dorota Magdalena,3
232,BRATKOWSKI Wojciech,2
232,HINC Przemysław Jakub,1
232,JAŚKOWIAK Jacek,7
232,LEWANDOWSKI Tomasz Jacek,5
232,PUCEK Jarosław,1
232,ZYSK Tadeusz,8
233,BONK-HAMMERMEISTER Dorota Magdalena,0
233,BRATKOWSKI Wojciech,2
233,HINC Przemysław Jakub,2
233,JAŚKOWIAK Jacek,17
233,LEWANDOWSKI Tomasz Jacek,8
233,PUCEK Jarosław,5
233,ZYSK Tadeusz,25
234,BONK-HAMMERMEISTER Dorota Magdalena,0
234,BRATKOWSKI Wojciech,0
234,HINC Przemysław Jakub,0
234,JAŚKOWIAK Jacek,36
234,LEWANDOWSKI Tomasz Jacek,2
234,PUCEK Jarosław,2
234,ZYSK Tadeusz,21
235,BONK-HAMMERMEISTER Dorota Magdalena,0
235,BRATKOWSKI Wojciech,0
235,HINC Przemysław Jakub,1
235,JAŚKOWIAK Jacek,12
235,LEWANDOWSKI Tomasz Jacek,1
235,PUCEK Jarosław,0
235,ZYSK Tadeusz,2
236,BONK-HAMMERMEISTER Dorota Magdalena,1
236,BRATKOWSKI Wojciech,0
236,HINC Przemysław Jakub,0
236,JAŚKOWIAK Jacek,16
236,LEWANDOWSKI Tomasz Jacek,1
236,PUCEK Jarosław,1
236,ZYSK Tadeusz,7
237,BONK-HAMMERMEISTER Dorota Magdalena,1
237,BRATKOWSKI Wojciech,1
237,HINC Przemysław Jakub,0
237,JAŚKOWIAK Jacek,5
237,LEWANDOWSKI Tomasz Jacek,1
237,PUCEK Jarosław,1
237,ZYSK Tadeusz,4
238,BONK-HAMMERMEISTER Dorota Magdalena,6
238,BRATKOWSKI Wojciech,3
238,HINC Przemysław Jakub,4
238,JAŚKOWIAK Jacek,26
238,LEWANDOWSKI Tomasz Jacek,4
238,PUCEK Jarosław,5
238,ZYSK Tadeusz,6
239,BONK-HAMMERMEISTER Dorota Magdalena,0
239,BRATKOWSKI Wojciech,1
239,HINC Przemysław Jakub,3
239,JAŚKOWIAK Jacek,18
239,LEWANDOWSKI Tomasz Jacek,5
239,PUCEK Jarosław,2
239,ZYSK Tadeusz,13
240,BONK-HAMMERMEISTER Dorota Magdalena,0
240,BRATKOWSKI Wojciech,0
240,HINC Przemysław Jakub,2
240,JAŚKOWIAK Jacek,22
240,LEWANDOWSKI Tomasz Jacek,6
240,PUCEK Jarosław,4
240,ZYSK Tadeusz,9
241,BONK-HAMMERMEISTER Dorota Magdalena,1
241,BRATKOWSKI Wojciech,1
241,HINC Przemysław Jakub,1
241,JAŚKOWIAK Jacek,24
241,LEWANDOWSKI Tomasz Jacek,4
241,PUCEK Jarosław,3
241,ZYSK Tadeusz,19
242,BONK-HAMMERMEISTER Dorota Magdalena,0
242,BRATKOWSKI Wojciech,0
242,HINC Przemysław Jakub,0
242,JAŚKOWIAK Jacek,2
242,LEWANDOWSKI Tomasz Jacek,0
242,PUCEK Jarosław,2
242,ZYSK Tadeusz,44
243,BONK-HAMMERMEISTER Dorota Magdalena,0
243,BRATKOWSKI Wojciech,1
243,HINC Przemysław Jakub,0
243,JAŚKOWIAK Jacek,6
243,LEWANDOWSKI Tomasz Jacek,1
243,PUCEK Jarosław,0
243,ZYSK Tadeusz,8
244,BONK-HAMMERMEISTER Dorota Magdalena,1
244,BRATKOWSKI Wojciech,0
244,HINC Przemysław Jakub,0
244,JAŚKOWIAK Jacek,2
244,LEWANDOWSKI Tomasz Jacek,0
244,PUCEK Jarosław,0
244,ZYSK Tadeusz,39
245,BONK-HAMMERMEISTER Dorota Magdalena,1
245,BRATKOWSKI Wojciech,1
245,HINC Przemysław Jakub,1
245,JAŚKOWIAK Jacek,16
245,LEWANDOWSKI Tomasz Jacek,3
245,PUCEK Jarosław,0
245,ZYSK Tadeusz,7
246,BONK-HAMMERMEISTER Dorota Magdalena,0
246,BRATKOWSKI Wojciech,0
246,HINC Przemysław Jakub,0
246,JAŚKOWIAK Jacek,13
246,LEWANDOWSKI Tomasz Jacek,1
246,PUCEK Jarosław,2
246,ZYSK Tadeusz,1
247,BONK-HAMMERMEISTER Dorota Magdalena,1
247,BRATKOWSKI Wojciech,1
247,HINC Przemysław Jakub,0
247,JAŚKOWIAK Jacek,12
247,LEWANDOWSKI Tomasz Jacek,4
247,PUCEK Jarosław,1
247,ZYSK Tadeusz,5
248,BONK-HAMMERMEISTER Dorota Magdalena,0
248,BRATKOWSKI Wojciech,0
248,HINC Przemysław Jakub,0
248,JAŚKOWIAK Jacek,6
248,LEWANDOWSKI Tomasz Jacek,0
248,PUCEK Jarosław,0
248,ZYSK Tadeusz,2
249,BONK-HAMMERMEISTER Dorota Magdalena,0
249,BRATKOWSKI Wojciech,2
249,HINC Przemysław Jakub,1
249,JAŚKOWIAK Jacek,14
249,LEWANDOWSKI Tomasz Jacek,4
249,PUCEK Jarosław,0
249,ZYSK Tadeusz,10
250,BONK-HAMMERMEISTER Dorota Magdalena,3
250,BRATKOWSKI Wojciech,1
250,HINC Przemysław Jakub,2
250,JAŚKOWIAK Jacek,8
250,LEWANDOWSKI Tomasz Jacek,1
250,PUCEK Jarosław,0
250,ZYSK Tadeusz,32
251,BONK-HAMMERMEISTER Dorota Magdalena,1
251,BRATKOWSKI Wojciech,0
251,HINC Przemysław Jakub,1
251,JAŚKOWIAK Jacek,9
251,LEWANDOWSKI Tomasz Jacek,2
251,PUCEK Jarosław,0
251,ZYSK Tadeusz,1
252,BONK-HAMMERMEISTER Dorota Magdalena,1
252,BRATKOWSKI Wojciech,0
252,HINC Przemysław Jakub,0
252,JAŚKOWIAK Jacek,10
252,LEWANDOWSKI Tomasz Jacek,1
252,PUCEK Jarosław,3
252,ZYSK Tadeusz,12
