Nr okręgu,Nr obwodu,Komitet wyborczy,Kandydat,Liczba głosów
1,4,KWW JAROSŁAWA PUCKA DOBRO MIASTA,JAKUBOWSKA Hanna Maria,3
1,4,KWW JAROSŁAWA PUCKA DOBRO MIASTA,CHODOROWSKA Anna Barbara,4
1,4,KWW LEWICA,KRETKOWSKA Katarzyna Maria,58
1,4,KWW LEWICA,SZLINDER Maciej Karol,6
1,4,KWW LEWICA,ŁAZARZ Maria,2
1,4,KWW LEWICA,KRZYWOSZ Marian,0
1,4,KWW LEWICA,CZUBAŁA Małgorzata Maria,1
1,4,KWW LEWICA,MAJEWSKI Dawid,4
1,4,KWW LEWICA,ROHDE Wojciech Marian,0
1,4,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,BONK-HAMMERMEISTER Dorota Magdalena,78
1,4,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KLUK Arkadiusz,18
1,4,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SOŁTYSIAK-ŁUCZAK Aleksandra Marta,1
1,4,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,JANOWSKI Andrzej Piotr,7
1,4,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,ŁODZIAK Dorota,3
1,4,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SCHMIDT Filip Maria,1
1,4,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,GARCZARCZYK Magdalena Anna,1
1,5,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KIERZEK-KOPERSKA Katarzyna Renata,148
1,5,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MIKUŁA Łukasz Michał,110
1,5,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KUCHARCZYK Jakub Piotr,21
1,5,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,OLSZAK Filip Marian,21
1,5,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,URBAŃSKA Wiesława Danuta,7
1,5,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MAZUREK Marta,33
1,5,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MICHALAK-PIETKIEWICZ Agnieszka Małgorzata,13
