Nr okręgu,Nr obwodu,Kandydat,Liczba głosów
1,28,LEWANDOWSKI Tomasz Jacek,60
1,28,PUCEK Jarosław,44
1,28,ZYSK Tadeusz,157
1,29,BONK-HAMMERMEISTER Dorota Magdalena,49
1,29,BRATKOWSKI Wojciech,21
1,29,HINC Przemysław Jakub,24
1,29,JAŚKOWIAK Jacek,574
1,29,LEWANDOWSKI Tomasz Jacek,69
1,29,PUCEK Jarosław,68
1,29,ZYSK Tadeusz,190
1,30,BONK-HAMMERMEISTER Dorota Magdalena,12
1,30,BRATKOWSKI Wojciech,10
1,30,HINC Przemysław Jakub,20
1,30,JAŚKOWIAK Jacek,240
1,30,LEWANDOWSKI Tomasz Jacek,50
1,30,PUCEK Jarosław,39
1,30,ZYSK Tadeusz,110
1,31,BONK-HAMMERMEISTER Dorota Magdalena,33
1,31,BRATKOWSKI Wojciech,26
1,31,HINC Przemysław Jakub,16
1,31,JAŚKOWIAK Jacek,443
1,31,LEWANDOWSKI Tomasz Jacek,55
1,31,PUCEK Jarosław,64
1,31,ZYSK Tadeusz,131
1,32,BONK-HAMMERMEISTER Dorota Magdalena,41
1,32,BRATKOWSKI Wojciech,12
1,32,HINC Przemysław Jakub,27
1,32,JAŚKOWIAK Jacek,494
1,32,LEWANDOWSKI Tomasz Jacek,95
1,32,PUCEK Jarosław,65
1,32,ZYSK Tadeusz,178
1,33,BONK-HAMMERMEISTER Dorota Magdalena,20
1,33,BRATKOWSKI Wojciech,9
1,33,HINC Przemysław Jakub,23
1,33,JAŚKOWIAK Jacek,284
1,33,LEWANDOWSKI Tomasz Jacek,49
1,33,PUCEK Jarosław,41
1,33,ZYSK Tadeusz,84
1,34,BONK-HAMMERMEISTER Dorota Magdalena,25
1,34,BRATKOWSKI Wojciech,9
1,34,HINC Przemysław Jakub,14
1,34,JAŚKOWIAK Jacek,290
1,34,LEWANDOWSKI Tomasz Jacek,40
1,34,PUCEK Jarosław,43
1,34,ZYSK Tadeusz,111
1,35,BONK-HAMMERMEISTER Dorota Magdalena,37
